zone,date,PM2.5,PM10,NO2,SO2,CO,O3
Anand Vihar,2026-04-25,81.2,305.5,36.5,12.1,0.97,12.42
Anand Vihar,2026-04-26,94.7,354.8,39.3,11.3,1.28,16.44
Anand Vihar,2026-04-27,94.1,277.4,37.2,7.7,0.82,19.65
Anand Vihar,2026-04-28,82.8,333.3,28.2,10.5,0.84,14.52
Anand Vihar,2026-04-29,67.6,227.2,30.9,13.3,0.79,17.03
Anand Vihar,2026-04-30,126.1,287.6,37.0,11.5,0.94,14.88
Anand Vihar,2026-05-01,50.1,170.1,22.1,5.9,1.3,22.25
Anand Vihar,2026-05-02,82.0,180.5,22.8,5.2,1.5,11.95
Anand Vihar,2026-05-03,44.0,179.4,11.6,7.7,1.4,23.7
Anand Vihar,2026-05-04,33.5,100.2,18.0,20.5,1.37,11.74
Anand Vihar,2026-05-05,67.4,156.1,20.8,11.5,1.38,22.86
Anand Vihar,2026-05-06,92.2,252.5,31.0,6.3,2.39,21.47
Anand Vihar,2026-05-07,41.6,124.8,17.3,6.5,1.57,6.92
Anand Vihar,2026-05-08,40.2,131.8,14.3,6.5,1.6,9.8
Anand Vihar,2026-05-09,51.1,154.7,15.1,10.9,1.77,6.82
Anand Vihar,2026-05-10,57.3,155.1,12.7,10.5,1.68,13.41
Anand Vihar,2026-05-11,69.3,206.7,12.1,12.4,2.18,7.19
Anand Vihar,2026-05-12,71.4,218.8,11.2,11.2,1.74,8.3
Anand Vihar,2026-05-13,73.4,232.3,5.8,11.6,1.81,6.4
Anand Vihar,2026-05-14,52.7,222.0,18.1,13.2,,2.8
Anand Vihar,2026-05-15,72.6,252.5,27.9,8.1,1.31,49.65
Anand Vihar,2026-05-16,75.8,238.2,17.3,11.7,1.32,50.51
Anand Vihar,2026-05-17,75.0,298.7,15.0,11.5,1.24,40.89
Anand Vihar,2026-05-18,64.2,280.6,14.6,11.7,1.2,40.74
Anand Vihar,2026-05-19,73.3,327.5,15.4,11.3,1.85,36.25
Anand Vihar,2026-05-20,67.5,278.2,17.7,10.4,1.47,37.0
Anand Vihar,2026-05-21,67.8,359.0,21.9,9.1,0.93,29.06
Anand Vihar,2026-05-22,74.2,278.4,28.7,7.9,0.81,54.83
Anand Vihar,2026-05-23,88.4,322.9,27.7,13.5,0.9,40.66
Anand Vihar,2026-05-24,95.6,308.3,32.6,6.7,1.26,37.41
Anand Vihar,2026-05-25,106.2,474.4,33.5,4.9,1.06,24.74
Anand Vihar,2026-05-26,109.5,330.1,25.9,14.2,1.0,49.79
Anand Vihar,2026-05-27,89.8,270.1,35.7,8.6,0.35,61.19
Anand Vihar,2026-05-28,78.7,279.3,17.7,8.4,0.32,19.9
Anand Vihar,2026-05-29,37.9,126.8,17.1,10.8,0.7,48.54
Anand Vihar,2026-05-30,28.4,92.1,13.8,10.4,0.93,20.35
Anand Vihar,2026-05-31,33.2,90.0,7.1,12.3,0.9,22.72
Anand Vihar,2026-06-01,49.4,137.8,16.7,10.6,0.87,38.02
Anand Vihar,2026-06-02,45.6,130.3,13.0,10.9,0.92,34.5
Anand Vihar,2026-06-03,64.1,240.8,24.0,8.8,1.12,57.56
Anand Vihar,2026-06-04,88.1,271.5,19.0,10.5,1.12,23.27
Anand Vihar,2026-06-06,91.9,397.1,20.6,8.7,1.13,13.89
Anand Vihar,2026-06-08,55.0,449.0,19.0,8.3,0.97,25.82
Anand Vihar,2026-06-09,68.8,433.6,23.3,5.4,0.87,43.77
Anand Vihar,2026-06-10,33.6,323.8,23.9,5.7,1.05,22.32
Anand Vihar,2026-06-11,39.3,197.8,21.5,5.5,0.83,53.99
Anand Vihar,2026-06-12,50.7,123.7,20.8,6.7,1.08,19.69
Anand Vihar,2026-06-13,56.3,202.7,31.2,7.3,1.57,65.53
Anand Vihar,2026-06-14,87.1,346.8,33.3,6.7,0.77,55.44
Anand Vihar,2026-06-15,49.6,286.0,22.2,6.7,1.06,29.9
Anand Vihar,2026-06-16,38.5,170.3,25.2,9.1,1.2,31.97
Anand Vihar,2026-06-17,50.0,223.7,28.7,8.8,1.34,61.69
Anand Vihar,2026-06-18,59.4,294.7,27.7,6.5,0.89,43.17
Anand Vihar,2026-06-19,51.2,286.0,21.3,5.7,1.12,47.31
Anand Vihar,2026-06-20,55.1,252.2,23.1,5.2,0.74,44.64
Anand Vihar,2026-06-21,46.9,215.3,21.7,3.7,1.16,30.8
Anand Vihar,2026-06-22,55.3,382.9,26.0,4.7,1.29,47.85
Anand Vihar,2026-06-23,61.8,265.1,30.8,2.9,1.27,50.55
Anand Vihar,2026-06-24,42.7,224.8,22.6,3.3,1.39,58.01
Anand Vihar,2026-06-25,54.2,279.0,37.3,5.4,1.41,34.73
Anand Vihar,2026-06-26,46.6,208.9,23.4,4.7,2.65,29.75
Anand Vihar,2026-06-27,55.4,248.2,20.2,2.4,2.41,43.7
Anand Vihar,2026-06-28,68.3,273.5,26.8,3.8,2.12,40.88
Anand Vihar,2026-06-29,45.7,252.8,23.0,2.1,1.73,27.98
Anand Vihar,2026-06-30,62.1,347.6,16.1,2.5,1.44,17.05
Anand Vihar,2026-07-01,47.1,143.6,14.5,2.7,1.62,12.3
Anand Vihar,2026-07-02,51.2,206.4,13.8,3.7,1.56,49.01
Anand Vihar,2026-07-03,61.5,163.0,15.5,3.0,1.25,28.49
Anand Vihar,2026-07-04,66.4,210.0,15.9,4.1,2.3,10.43
Anand Vihar,2026-07-05,83.5,218.0,21.3,3.5,2.11,5.46
Anand Vihar,2026-07-06,46.8,154.2,15.7,5.6,2.61,23.76
Anand Vihar,2026-07-07,49.8,167.3,13.9,5.7,1.82,6.93
Anand Vihar,2026-07-08,48.2,98.3,16.7,4.3,1.38,4.05
Anand Vihar,2026-07-09,31.5,52.7,9.3,6.1,2.06,6.9
Anand Vihar,2026-07-10,43.7,190.3,15.1,2.9,1.85,5.18
Anand Vihar,2026-07-11,86.0,487.4,17.4,5.6,1.79,5.19
Anand Vihar,2026-07-12,96.2,687.7,18.6,6.4,1.45,8.0
Anand Vihar,2026-07-13,72.5,429.8,18.1,4.2,1.26,9.75
Anand Vihar,2026-07-14,69.3,392.5,21.2,4.9,1.27,28.04
Anand Vihar,2026-07-15,70.6,373.8,20.1,2.9,0.91,33.94
Anand Vihar,2026-07-16,76.3,392.3,19.4,3.4,1.48,33.09
Anand Vihar,2026-07-17,86.1,385.8,27.4,4.2,1.1,22.4
Anand Vihar,2026-07-18,81.5,416.1,20.9,6.0,2.31,22.92
Anand Vihar,2026-07-19,82.0,324.3,19.2,3.6,1.52,23.39
Anand Vihar,2026-07-20,64.9,156.8,14.8,4.4,1.32,6.55
Anand Vihar,2026-07-21,77.5,178.0,17.4,4.4,0.7,0.9
Ashok Vihar,2025-10-01,52.9,113.7,33.6,8.6,1.39,105.42
Ashok Vihar,2025-10-02,57.4,116.7,32.5,7.8,1.18,75.08
Ashok Vihar,2025-10-03,43.0,119.6,30.6,10.2,1.39,70.59
Ashok Vihar,2025-10-04,84.3,159.4,36.1,12.3,1.19,71.75
Ashok Vihar,2025-10-05,77.3,174.6,37.1,8.3,1.7,91.15
Ashok Vihar,2025-10-06,41.8,74.7,25.2,8.6,0.89,32.25
Ashok Vihar,2025-10-07,27.8,43.2,21.8,10.7,0.95,89.33
Ashok Vihar,2025-10-08,42.7,81.7,25.6,8.6,0.96,71.05
Ashok Vihar,2025-10-09,46.9,122.0,22.0,12.7,0.94,85.85
Ashok Vihar,2025-10-10,69.5,197.0,31.2,11.8,0.98,106.96
Ashok Vihar,2025-10-11,85.3,214.7,37.1,14.2,0.25,95.5
Ashok Vihar,2025-10-12,72.0,186.2,28.6,12.5,0.96,103.08
Ashok Vihar,2025-10-13,91.6,226.0,42.0,13.5,1.62,113.14
Ashok Vihar,2025-10-14,93.4,224.1,44.5,15.5,1.6,122.91
Ashok Vihar,2025-10-15,114.0,282.3,54.1,16.5,2.25,137.21
Ashok Vihar,2025-10-16,132.9,295.3,48.8,18.3,2.57,126.77
Ashok Vihar,2025-10-17,127.2,274.2,54.3,17.4,1.87,127.22
Ashok Vihar,2025-10-18,158.4,285.2,48.3,18.9,1.14,121.51
Ashok Vihar,2025-10-19,187.6,341.9,49.2,20.3,1.84,140.63
Ashok Vihar,2025-10-20,353.1,468.5,62.1,41.9,2.83,127.44
Ashok Vihar,2025-10-21,256.8,369.9,49.6,51.1,2.04,84.65
Ashok Vihar,2025-10-22,239.8,341.3,43.0,21.8,1.41,88.55
Ashok Vihar,2025-10-23,155.4,255.8,46.9,20.1,1.86,111.95
Ashok Vihar,2025-10-24,143.2,265.2,54.1,20.3,2.86,111.76
Ashok Vihar,2025-10-25,199.1,370.9,68.7,20.5,3.72,128.05
Ashok Vihar,2025-10-26,184.3,317.4,76.4,19.8,3.95,124.35
Ashok Vihar,2025-10-27,182.1,311.8,60.3,19.7,3.07,95.38
Ashok Vihar,2025-10-28,149.8,238.3,48.8,18.0,1.51,84.37
Ashok Vihar,2025-10-29,180.5,277.0,54.6,20.2,2.21,108.02
Ashok Vihar,2025-10-30,248.7,369.4,69.0,18.2,2.07,56.91
Ashok Vihar,2025-10-31,120.0,178.3,43.4,14.9,3.04,78.59
Ashok Vihar,2025-11-01,222.9,341.8,61.9,16.5,2.34,72.92
Ashok Vihar,2025-11-02,231.1,345.8,53.6,19.0,1.57,93.09
Ashok Vihar,2025-11-03,221.2,363.3,55.6,21.3,3.3,93.44
Ashok Vihar,2025-11-04,139.5,266.5,61.6,16.1,4.08,83.53
Ashok Vihar,2025-11-05,108.2,185.1,40.8,16.2,2.17,86.4
Ashok Vihar,2025-11-06,192.3,303.9,42.3,14.3,1.61,98.61
Ashok Vihar,2025-11-07,239.8,371.4,59.1,19.7,2.02,110.41
Ashok Vihar,2025-11-08,311.3,463.3,71.9,19.4,2.28,108.26
Ashok Vihar,2025-11-09,257.8,382.3,72.9,18.6,2.12,108.97
Ashok Vihar,2025-11-10,270.4,426.8,105.1,12.1,2.93,116.27
Ashok Vihar,2025-11-11,363.8,536.2,98.9,13.9,1.86,106.56
Ashok Vihar,2025-11-12,381.4,565.1,89.6,20.1,2.96,115.59
Ashok Vihar,2025-11-13,329.1,495.0,100.9,16.0,2.57,105.04
Ashok Vihar,2025-11-14,254.0,419.9,98.5,17.4,2.3,101.07
Ashok Vihar,2025-11-15,282.8,438.0,87.4,16.6,1.71,98.9
Ashok Vihar,2025-11-16,283.5,417.4,98.3,19.6,2.29,106.49
Ashok Vihar,2025-11-17,255.6,408.5,84.5,18.3,4.59,100.26
Ashok Vihar,2025-11-18,291.0,477.8,100.2,13.4,5.55,102.79
Ashok Vihar,2025-11-19,353.8,552.7,111.0,16.9,5.25,108.6
Ashok Vihar,2025-11-20,289.7,450.5,103.4,12.9,4.43,105.95
Ashok Vihar,2025-11-21,262.2,418.7,102.2,13.9,5.07,84.35
Ashok Vihar,2025-11-22,293.8,486.0,98.5,12.3,4.92,93.9
Ashok Vihar,2025-11-23,331.0,528.5,111.6,14.6,3.85,99.84
Ashok Vihar,2025-11-24,247.1,416.4,87.1,12.5,3.36,94.66
Ashok Vihar,2025-11-25,211.0,372.3,83.0,16.8,2.4,88.34
Ashok Vihar,2025-11-26,296.0,456.0,102.8,22.8,1.0,5.2
Ashok Vihar,2025-12-01,174.9,316.2,78.8,21.3,2.31,107.47
Ashok Vihar,2025-12-02,286.8,497.5,107.5,28.9,2.0,117.58
Ashok Vihar,2025-12-03,146.9,282.5,72.0,21.7,1.73,94.9
Ashok Vihar,2025-12-04,171.9,298.3,71.5,20.6,2.5,100.51
Ashok Vihar,2025-12-05,186.9,326.8,83.5,13.8,1.78,94.06
Ashok Vihar,2025-12-06,177.7,309.8,63.9,14.7,1.26,84.77
Ashok Vihar,2025-12-07,169.7,299.5,58.7,15.1,1.5,92.39
Ashok Vihar,2025-12-08,150.9,278.8,65.9,13.7,1.75,81.65
Ashok Vihar,2025-12-09,143.0,268.2,64.9,14.5,1.61,80.35
Ashok Vihar,2025-12-10,148.1,261.8,61.5,13.1,1.8,55.81
Ashok Vihar,2025-12-11,206.9,375.7,77.6,12.0,4.04,76.55
Ashok Vihar,2025-12-12,295.5,507.0,85.7,13.9,3.84,80.09
Ashok Vihar,2025-12-13,447.0,660.3,101.2,14.2,3.58,89.04
